"date","ALAMEDA","LOS.ANGELES","City.of.Long.Beach","City.of.Pasadena","MARIN","ORANGE","RIVERSIDE","SAN.BERNARDINO","SAN.DIEGO","SAN.MATEO","SANTA.CLARA","SOLANO","VENTURA","CONTRA.COSTA","MERCED","YOLO"
"02-09-2015",6,20,2,4,2,34,5,6,13,3,2,1,9,0,0,0
"02-11-2015",0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0
"02-13-2015",0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
"02-18-2015",0,1,0,0,0,0,2,3,0,0,0,0,0,0,0,0
"02-20-2015",0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"02-23-2015",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"02-25-2015",0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0
"02-27-2015",0,1,0,0,0,0,-1,2,1,1,0,0,0,0,0,0
"03-02-2015",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"03-06-2015",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"03-13-2015",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"03-20-2015",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"03-27-2015",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"04-03-2015",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"04-10-2015",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"04-17-2015",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
